="",="(1)",="(2)",="(3)",="(4)"
="",="green_verdict_gpt",="green_verdict_gpt",="green_verdict_gpt",="green_verdict_gpt"
="length_of_case",="0.00000668",="0.00000626",="0.00000445",="0.00000632"
="",="(0.00000353)",="(0.00000345)",="(0.00000397)",="(0.00000352)"
="num_titles_cited",="-0.00143",="-0.00116",="-0.00377",="-0.00153"
="",="(0.00208)",="(0.00203)",="(0.00273)",="(0.00211)"
="no_of_judges",="0.128**",="0.134**",="0.0384",="0.131**"
="",="(0.0422)",="(0.0416)",="(0.0387)",="(0.0423)"
="water_cases",="0.126***",="0.129***",="0.0422",="0.121***"
="",="(0.0309)",="(0.0295)",="(0.0338)",="(0.0321)"
="Sample",="full",="drop under 300",="e-relevance",="both"
="State FE",="yes",="yes",="yes",="yes"
="District FE",="yes",="yes",="yes",="yes"
="Case Year FE",="yes",="yes",="yes",="yes"
=" N",="2284",="2207",="1040",="2236"
="Adj. R-squared",="0.172",="0.175",="0.0816",="0.168"
="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
